adm2_en,month,NO2,date
Davao Occidental,2023-10,3.956676508909971e-05,2023-10-01T00:00:00
Cotabato,2023-10,4.231029700260572e-05,2023-10-01T00:00:00
Maguindanao del Norte,2023-10,4.283781754254244e-05,2023-10-01T00:00:00
Maguindanao del Sur,2023-10,4.475067758721068e-05,2023-10-01T00:00:00
Davao de Oro,2023-11,3.804317328325775e-05,2023-11-01T00:00:00
Davao Occidental,2023-11,3.73436949440686e-05,2023-11-01T00:00:00
Cotabato,2023-11,4.201872969426527e-05,2023-11-01T00:00:00
Maguindanao del Norte,2023-11,4.2283353778571774e-05,2023-11-01T00:00:00
Maguindanao del Sur,2023-11,4.336415675708806e-05,2023-11-01T00:00:00
Davao de Oro,2023-12,3.424476725848375e-05,2023-12-01T00:00:00
Davao Occidental,2023-12,3.3712258981872946e-05,2023-12-01T00:00:00
Cotabato,2023-12,3.787334015255337e-05,2023-12-01T00:00:00
Maguindanao del Norte,2023-12,3.910462595960189e-05,2023-12-01T00:00:00
Maguindanao del Sur,2023-12,3.912338152107009e-05,2023-12-01T00:00:00
Davao de Oro,2024-01,3.313121388517882e-05,2024-01-01T00:00:00
Davao Occidental,2024-01,3.269252056925443e-05,2024-01-01T00:00:00
Cotabato,2024-01,3.627470319942657e-05,2024-01-01T00:00:00
Maguindanao del Norte,2024-01,3.617297359455164e-05,2024-01-01T00:00:00
Maguindanao del Sur,2024-01,3.6881657585993465e-05,2024-01-01T00:00:00
Davao de Oro,2024-02,3.467881484857366e-05,2024-02-01T00:00:00
Davao Occidental,2024-02,3.489287029551528e-05,2024-02-01T00:00:00
Cotabato,2024-02,3.866964209496939e-05,2024-02-01T00:00:00
Maguindanao del Norte,2024-02,3.954936282714349e-05,2024-02-01T00:00:00
Maguindanao del Sur,2024-02,3.976429251417739e-05,2024-02-01T00:00:00
Davao de Oro,2024-03,3.619316302826871e-05,2024-03-01T00:00:00
Davao Occidental,2024-03,3.685593077365642e-05,2024-03-01T00:00:00
Cotabato,2024-03,4.1521437930946834e-05,2024-03-01T00:00:00
Maguindanao del Norte,2024-03,4.392796697859699e-05,2024-03-01T00:00:00
Maguindanao del Sur,2024-03,4.474698209596302e-05,2024-03-01T00:00:00
Davao de Oro,2024-04,4.005607560901616e-05,2024-04-01T00:00:00
Davao Occidental,2024-04,3.930187203229463e-05,2024-04-01T00:00:00
Cotabato,2024-04,4.6512522765454377e-05,2024-04-01T00:00:00
Maguindanao del Norte,2024-04,4.954709764977825e-05,2024-04-01T00:00:00
Maguindanao del Sur,2024-04,4.994632618383357e-05,2024-04-01T00:00:00
Davao de Oro,2024-05,4.2698068214140015e-05,2024-05-01T00:00:00
Davao Occidental,2024-05,4.136312626321255e-05,2024-05-01T00:00:00
Cotabato,2024-05,4.809578745545098e-05,2024-05-01T00:00:00
Maguindanao del Norte,2024-05,4.729791199117017e-05,2024-05-01T00:00:00
Maguindanao del Sur,2024-05,5.074755583840623e-05,2024-05-01T00:00:00
Davao de Oro,2024-06,4.2661044805665306e-05,2024-06-01T00:00:00
Davao Occidental,2024-06,3.953059110720727e-05,2024-06-01T00:00:00
Cotabato,2024-06,4.5975080962726506e-05,2024-06-01T00:00:00
Maguindanao del Norte,2024-06,4.394174883220982e-05,2024-06-01T00:00:00
Maguindanao del Sur,2024-06,4.670407683823449e-05,2024-06-01T00:00:00
Davao de Oro,2024-07,4.063838932581477e-05,2024-07-01T00:00:00
